0.1 1.0 9967 00:00:00 k8s_kube-proxy_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 d373dd5a8593 Up_8_minutes 9967
0.0 0.0 9888 00:00:00 k8s_POD_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 k8s.gcr.io/pause:3.3 Up_8_minutes 9888
0.0 0.1 9268 00:00:00 k8s_nginx-proxy_nginx-proxy-server8_kube-system_3fe14fcd98deb98cf28565dc3845877a_0 f35646e83998 Up_8_minutes 9268
0.0 0.0 9191 00:00:00 k8s_POD_nginx-proxy-server8_kube-system_3fe14fcd98deb98cf28565dc3845877a_0 k8s.gcr.io/pause:3.3 Up_8_minutes 9191
Time 1603710043
0.3 0.0 5799 00:00:00 k8s_POD_kafka-1_kafka_967def02-ce5f-44e1-b2dc-e8c52cf92bdb_0 k8s.gcr.io/pause:3.3 Up_51_seconds 5799
0.1 0.7 14390 00:00:00 k8s_node-cache_nodelocaldns-pf5gk_kube-system_02e5b917-fecd-47ef-bcfa-18d4d9ccca8e_0 3f7a09f7cade Up_5_minutes 14390
0.0 0.0 14325 00:00:00 k8s_POD_nodelocaldns-pf5gk_kube-system_02e5b917-fecd-47ef-bcfa-18d4d9ccca8e_0 k8s.gcr.io/pause:3.3 Up_5_minutes 14325
0.0 0.0 12741 00:00:00 k8s_calico-node_calico-node-kzk6g_kube-system_b82d2514-ad70-4d46-b03e-a38346bc58a8_1 0f351f210d5e Up_6_minutes 12741
0.0 0.0 12556 00:00:00 k8s_POD_calico-node-kzk6g_kube-system_b82d2514-ad70-4d46-b03e-a38346bc58a8_0 k8s.gcr.io/pause:3.3 Up_6_minutes 12556
0.1 1.0 9967 00:00:00 k8s_kube-proxy_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 d373dd5a8593 Up_8_minutes 9967
0.0 0.0 9888 00:00:00 k8s_POD_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 k8s.gcr.io/pause:3.3 Up_8_minutes 9888
0.0 0.1 9268 00:00:00 k8s_nginx-proxy_nginx-proxy-server8_kube-system_3fe14fcd98deb98cf28565dc3845877a_0 f35646e83998 Up_8_minutes 9268
0.0 0.0 9191 00:00:00 k8s_POD_nginx-proxy-server8_kube-system_3fe14fcd98deb98cf28565dc3845877a_0 k8s.gcr.io/pause:3.3 Up_8_minutes 9191
Time 1603710045
0.3 0.0 5799 00:00:00 k8s_POD_kafka-1_kafka_967def02-ce5f-44e1-b2dc-e8c52cf92bdb_0 k8s.gcr.io/pause:3.3 Up_53_seconds 5799
0.1 0.7 14390 00:00:00 k8s_node-cache_nodelocaldns-pf5gk_kube-system_02e5b917-fecd-47ef-bcfa-18d4d9ccca8e_0 3f7a09f7cade Up_5_minutes 14390
0.0 0.0 14325 00:00:00 k8s_POD_nodelocaldns-pf5gk_kube-system_02e5b917-fecd-47ef-bcfa-18d4d9ccca8e_0 k8s.gcr.io/pause:3.3 Up_5_minutes 14325
0.0 0.0 12741 00:00:00 k8s_calico-node_calico-node-kzk6g_kube-system_b82d2514-ad70-4d46-b03e-a38346bc58a8_1 0f351f210d5e Up_6_minutes 12741
0.0 0.0 12556 00:00:00 k8s_POD_calico-node-kzk6g_kube-system_b82d2514-ad70-4d46-b03e-a38346bc58a8_0 k8s.gcr.io/pause:3.3 Up_6_minutes 12556
0.1 1.0 9967 00:00:00 k8s_kube-proxy_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 d373dd5a8593 Up_8_minutes 9967
0.0 0.0 9888 00:00:00 k8s_POD_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 k8s.gcr.io/pause:3.3 Up_8_minutes 9888
0.0 0.1 9268 00:00:00 k8s_nginx-proxy_nginx-proxy-server8_kube-system_3fe14fcd98deb98cf28565dc3845877a_0 f35646e83998 Up_8_minutes 9268
0.0 0.0 9191 00:00:00 k8s_POD_nginx-proxy-server8_kube-system_3fe14fcd98deb98cf28565dc3845877a_0 k8s.gcr.io/pause:3.3 Up_8_minutes 9191
Time 1603710046
0.3 0.0 5799 00:00:00 k8s_POD_kafka-1_kafka_967def02-ce5f-44e1-b2dc-e8c52cf92bdb_0 k8s.gcr.io/pause:3.3 Up_54_seconds 5799
0.1 0.7 14390 00:00:00 k8s_node-cache_nodelocaldns-pf5gk_kube-system_02e5b917-fecd-47ef-bcfa-18d4d9ccca8e_0 3f7a09f7cade Up_5_minutes 14390
0.0 0.0 14325 00:00:00 k8s_POD_nodelocaldns-pf5gk_kube-system_02e5b917-fecd-47ef-bcfa-18d4d9ccca8e_0 k8s.gcr.io/pause:3.3 Up_5_minutes 14325
0.0 0.0 12741 00:00:00 k8s_calico-node_calico-node-kzk6g_kube-system_b82d2514-ad70-4d46-b03e-a38346bc58a8_1 0f351f210d5e Up_6_minutes 12741
0.0 0.0 12556 00:00:00 k8s_POD_calico-node-kzk6g_kube-system_b82d2514-ad70-4d46-b03e-a38346bc58a8_0 k8s.gcr.io/pause:3.3 Up_6_minutes 12556
0.1 1.0 9967 00:00:00 k8s_kube-proxy_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 d373dd5a8593 Up_8_minutes 9967
0.0 0.0 9888 00:00:00 k8s_POD_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 k8s.gcr.io/pause:3.3 Up_8_minutes 9888
0.0 0.1 9268 00:00:00 k8s_nginx-proxy_nginx-proxy-server8_kube-system_3fe14fcd98deb98cf28565dc3845877a_0 f35646e83998 Up_8_minutes 9268
0.0 0.0 9191 00:00:00 k8s_POD_nginx-proxy-server8_kube-system_3fe14fcd98deb98cf28565dc3845877a_0 k8s.gcr.io/pause:3.3 Up_8_minutes 9191
Time 1603710048
0.2 0.0 5799 00:00:00 k8s_POD_kafka-1_kafka_967def02-ce5f-44e1-b2dc-e8c52cf92bdb_0 k8s.gcr.io/pause:3.3 Up_56_seconds 5799
0.1 0.7 14390 00:00:00 k8s_node-cache_nodelocaldns-pf5gk_kube-system_02e5b917-fecd-47ef-bcfa-18d4d9ccca8e_0 3f7a09f7cade Up_5_minutes 14390
0.0 0.0 14325 00:00:00 k8s_POD_nodelocaldns-pf5gk_kube-system_02e5b917-fecd-47ef-bcfa-18d4d9ccca8e_0 k8s.gcr.io/pause:3.3 Up_5_minutes 14325
0.0 0.0 12741 00:00:00 k8s_calico-node_calico-node-kzk6g_kube-system_b82d2514-ad70-4d46-b03e-a38346bc58a8_1 0f351f210d5e Up_6_minutes 12741
0.0 0.0 12556 00:00:00 k8s_POD_calico-node-kzk6g_kube-system_b82d2514-ad70-4d46-b03e-a38346bc58a8_0 k8s.gcr.io/pause:3.3 Up_6_minutes 12556
0.1 1.0 9967 00:00:00 k8s_kube-proxy_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 d373dd5a8593 Up_8_minutes 9967
0.0 0.0 9888 00:00:00 k8s_POD_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 k8s.gcr.io/pause:3.3 Up_8_minutes 9888
0.0 0.1 9268 00:00:00 k8s_nginx-proxy_nginx-proxy-server8_kube-system_3fe14fcd98deb98cf28565dc3845877a_0 f35646e83998 Up_8_minutes 9268
0.0 0.0 9191 00:00:00 k8s_POD_nginx-proxy-server8_kube-system_3fe14fcd98deb98cf28565dc3845877a_0 k8s.gcr.io/pause:3.3 Up_8_minutes 9191
Time 1603710050
0.2 0.0 5799 00:00:00 k8s_POD_kafka-1_kafka_967def02-ce5f-44e1-b2dc-e8c52cf92bdb_0 k8s.gcr.io/pause:3.3 Up_58_seconds 5799
0.1 0.7 14390 00:00:00 k8s_node-cache_nodelocaldns-pf5gk_kube-system_02e5b917-fecd-47ef-bcfa-18d4d9ccca8e_0 3f7a09f7cade Up_6_minutes 14390
0.0 0.0 14325 00:00:00 k8s_POD_nodelocaldns-pf5gk_kube-system_02e5b917-fecd-47ef-bcfa-18d4d9ccca8e_0 k8s.gcr.io/pause:3.3 Up_6_minutes 14325
0.0 0.0 12741 00:00:00 k8s_calico-node_calico-node-kzk6g_kube-system_b82d2514-ad70-4d46-b03e-a38346bc58a8_1 0f351f210d5e Up_6_minutes 12741
0.0 0.0 12556 00:00:00 k8s_POD_calico-node-kzk6g_kube-system_b82d2514-ad70-4d46-b03e-a38346bc58a8_0 k8s.gcr.io/pause:3.3 Up_6_minutes 12556
0.1 1.0 9967 00:00:00 k8s_kube-proxy_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 d373dd5a8593 Up_8_minutes 9967
0.0 0.0 9888 00:00:00 k8s_POD_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 k8s.gcr.io/pause:3.3 Up_8_minutes 9888
0.0 0.1 9268 00:00:00 k8s_nginx-proxy_nginx-proxy-server8_kube-system_3fe14fcd98deb98cf28565dc3845877a_0 f35646e83998 Up_8_minutes 9268
0.0 0.0 9191 00:00:00 k8s_POD_nginx-proxy-server8_kube-system_3fe14fcd98deb98cf28565dc3845877a_0 k8s.gcr.io/pause:3.3 Up_8_minutes 9191
Time 1603710051
0.2 0.0 5799 00:00:00 k8s_POD_kafka-1_kafka_967def02-ce5f-44e1-b2dc-e8c52cf92bdb_0 k8s.gcr.io/pause:3.3 Up_59_seconds 5799
0.1 0.7 14390 00:00:00 k8s_node-cache_nodelocaldns-pf5gk_kube-system_02e5b917-fecd-47ef-bcfa-18d4d9ccca8e_0 3f7a09f7cade Up_6_minutes 14390
0.0 0.0 14325 00:00:00 k8s_POD_nodelocaldns-pf5gk_kube-system_02e5b917-fecd-47ef-bcfa-18d4d9ccca8e_0 k8s.gcr.io/pause:3.3 Up_6_minutes 14325
0.0 0.0 12741 00:00:00 k8s_calico-node_calico-node-kzk6g_kube-system_b82d2514-ad70-4d46-b03e-a38346bc58a8_1 0f351f210d5e Up_6_minutes 12741
0.0 0.0 12556 00:00:00 k8s_POD_calico-node-kzk6g_kube-system_b82d2514-ad70-4d46-b03e-a38346bc58a8_0 k8s.gcr.io/pause:3.3 Up_6_minutes 12556
0.1 1.0 9967 00:00:00 k8s_kube-proxy_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 d373dd5a8593 Up_8_minutes 9967
0.0 0.0 9888 00:00:00 k8s_POD_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 k8s.gcr.io/pause:3.3 Up_8_minutes 9888
0.0 0.1 9268 00:00:00 k8s_nginx-proxy_nginx-proxy-server8_kube-system_3fe14fcd98deb98cf28565dc3845877a_0 f35646e83998 Up_8_minutes 9268
0.0 0.0 9191 00:00:00 k8s_POD_nginx-proxy-server8_kube-system_3fe14fcd98deb98cf28565dc3845877a_0 k8s.gcr.io/pause:3.3 Up_8_minutes 9191
Time 1603710053
0.2 0.0 5799 00:00:00 k8s_POD_kafka-1_kafka_967def02-ce5f-44e1-b2dc-e8c52cf92bdb_0 k8s.gcr.io/pause:3.3 Up_About_a_minute 5799
0.1 0.7 14390 00:00:00 k8s_node-cache_nodelocaldns-pf5gk_kube-system_02e5b917-fecd-47ef-bcfa-18d4d9ccca8e_0 3f7a09f7cade Up_6_minutes 14390
0.0 0.0 14325 00:00:00 k8s_POD_nodelocaldns-pf5gk_kube-system_02e5b917-fecd-47ef-bcfa-18d4d9ccca8e_0 k8s.gcr.io/pause:3.3 Up_6_minutes 14325
0.0 0.0 12741 00:00:00 k8s_calico-node_calico-node-kzk6g_kube-system_b82d2514-ad70-4d46-b03e-a38346bc58a8_1 0f351f210d5e Up_6_minutes 12741
0.0 0.0 12556 00:00:00 k8s_POD_calico-node-kzk6g_kube-system_b82d2514-ad70-4d46-b03e-a38346bc58a8_0 k8s.gcr.io/pause:3.3 Up_6_minutes 12556
0.1 1.0 9967 00:00:00 k8s_kube-proxy_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 d373dd5a8593 Up_8_minutes 9967
0.0 0.0 9888 00:00:00 k8s_POD_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 k8s.gcr.io/pause:3.3 Up_8_minutes 9888
0.0 0.1 9268 00:00:00 k8s_nginx-proxy_nginx-proxy-server8_kube-system_3fe14fcd98deb98cf28565dc3845877a_0 f35646e83998 Up_8_minutes 9268
0.0 0.0 9191 00:00:00 k8s_POD_nginx-proxy-server8_kube-system_3fe14fcd98deb98cf28565dc3845877a_0 k8s.gcr.io/pause:3.3 Up_8_minutes 9191
Time 1603710055
0.2 0.0 5799 00:00:00 k8s_POD_kafka-1_kafka_967def02-ce5f-44e1-b2dc-e8c52cf92bdb_0 k8s.gcr.io/pause:3.3 Up_About_a_minute 5799
0.1 0.7 14390 00:00:00 k8s_node-cache_nodelocaldns-pf5gk_kube-system_02e5b917-fecd-47ef-bcfa-18d4d9ccca8e_0 3f7a09f7cade Up_6_minutes 14390
0.0 0.0 14325 00:00:00 k8s_POD_nodelocaldns-pf5gk_kube-system_02e5b917-fecd-47ef-bcfa-18d4d9ccca8e_0 k8s.gcr.io/pause:3.3 Up_6_minutes 14325
0.0 0.0 12741 00:00:00 k8s_calico-node_calico-node-kzk6g_kube-system_b82d2514-ad70-4d46-b03e-a38346bc58a8_1 0f351f210d5e Up_6_minutes 12741
0.0 0.0 12556 00:00:00 k8s_POD_calico-node-kzk6g_kube-system_b82d2514-ad70-4d46-b03e-a38346bc58a8_0 k8s.gcr.io/pause:3.3 Up_6_minutes 12556
0.1 1.0 9967 00:00:00 k8s_kube-proxy_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 d373dd5a8593 Up_8_minutes 9967
0.0 0.0 9888 00:00:00 k8s_POD_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 k8s.gcr.io/pause:3.3 Up_8_minutes 9888
0.0 0.1 9268 00:00:00 k8s_nginx-proxy_nginx-proxy-server8_kube-system_3fe14fcd98deb98cf28565dc3845877a_0 f35646e83998 Up_8_minutes 9268
0.0 0.0 9191 00:00:00 k8s_POD_nginx-proxy-server8_kube-system_3fe14fcd98deb98cf28565dc3845877a_0 k8s.gcr.io/pause:3.3 Up_8_minutes 9191
Time 1603710056
0.2 0.0 5799 00:00:00 k8s_POD_kafka-1_kafka_967def02-ce5f-44e1-b2dc-e8c52cf92bdb_0 k8s.gcr.io/pause:3.3 Up_About_a_minute 5799
0.1 0.7 14390 00:00:00 k8s_node-cache_nodelocaldns-pf5gk_kube-system_02e5b917-fecd-47ef-bcfa-18d4d9ccca8e_0 3f7a09f7cade Up_6_minutes 14390
0.0 0.0 14325 00:00:00 k8s_POD_nodelocaldns-pf5gk_kube-system_02e5b917-fecd-47ef-bcfa-18d4d9ccca8e_0 k8s.gcr.io/pause:3.3 Up_6_minutes 14325
0.0 0.0 12741 00:00:00 k8s_calico-node_calico-node-kzk6g_kube-system_b82d2514-ad70-4d46-b03e-a38346bc58a8_1 0f351f210d5e Up_6_minutes 12741
0.0 0.0 12556 00:00:00 k8s_POD_calico-node-kzk6g_kube-system_b82d2514-ad70-4d46-b03e-a38346bc58a8_0 k8s.gcr.io/pause:3.3 Up_6_minutes 12556
0.1 1.0 9967 00:00:00 k8s_kube-proxy_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 d373dd5a8593 Up_8_minutes 9967
0.0 0.0 9888 00:00:00 k8s_POD_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 k8s.gcr.io/pause:3.3 Up_8_minutes 9888
0.0 0.1 9268 00:00:00 k8s_nginx-proxy_nginx-proxy-server8_kube-system_3fe14fcd98deb98cf28565dc3845877a_0 f35646e83998 Up_8_minutes 9268
0.0 0.0 9191 00:00:00 k8s_POD_nginx-proxy-server8_kube-system_3fe14fcd98deb98cf28565dc3845877a_0 k8s.gcr.io/pause:3.3 Up_8_minutes 9191
Time 1603710058
0.2 0.0 5799 00:00:00 k8s_POD_kafka-1_kafka_967def02-ce5f-44e1-b2dc-e8c52cf92bdb_0 k8s.gcr.io/pause:3.3 Up_About_a_minute 5799
0.1 0.7 14390 00:00:00 k8s_node-cache_nodelocaldns-pf5gk_kube-system_02e5b917-fecd-47ef-bcfa-18d4d9ccca8e_0 3f7a09f7cade Up_6_minutes 14390
0.0 0.0 14325 00:00:00 k8s_POD_nodelocaldns-pf5gk_kube-system_02e5b917-fecd-47ef-bcfa-18d4d9ccca8e_0 k8s.gcr.io/pause:3.3 Up_6_minutes 14325
0.0 0.0 12741 00:00:00 k8s_calico-node_calico-node-kzk6g_kube-system_b82d2514-ad70-4d46-b03e-a38346bc58a8_1 0f351f210d5e Up_6_minutes 12741
0.0 0.0 12556 00:00:00 k8s_POD_calico-node-kzk6g_kube-system_b82d2514-ad70-4d46-b03e-a38346bc58a8_0 k8s.gcr.io/pause:3.3 Up_6_minutes 12556
0.1 1.0 9967 00:00:00 k8s_kube-proxy_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 d373dd5a8593 Up_8_minutes 9967
0.0 0.0 9888 00:00:00 k8s_POD_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 k8s.gcr.io/pause:3.3 Up_8_minutes 9888
0.0 0.1 9268 00:00:00 k8s_nginx-proxy_nginx-proxy-server8_kube-system_3fe14fcd98deb98cf28565dc3845877a_0 f35646e83998 Up_8_minutes 9268
0.0 0.0 9191 00:00:00 k8s_POD_nginx-proxy-server8_kube-system_3fe14fcd98deb98cf28565dc3845877a_0 k8s.gcr.io/pause:3.3 Up_8_minutes 9191
Time 1603710059
0.2 0.0 5799 00:00:00 k8s_POD_kafka-1_kafka_967def02-ce5f-44e1-b2dc-e8c52cf92bdb_0 k8s.gcr.io/pause:3.3 Up_About_a_minute 5799
0.1 0.7 14390 00:00:00 k8s_node-cache_nodelocaldns-pf5gk_kube-system_02e5b917-fecd-47ef-bcfa-18d4d9ccca8e_0 3f7a09f7cade Up_6_minutes 14390
0.0 0.0 14325 00:00:00 k8s_POD_nodelocaldns-pf5gk_kube-system_02e5b917-fecd-47ef-bcfa-18d4d9ccca8e_0 k8s.gcr.io/pause:3.3 Up_6_minutes 14325
0.0 0.0 12741 00:00:00 k8s_calico-node_calico-node-kzk6g_kube-system_b82d2514-ad70-4d46-b03e-a38346bc58a8_1 0f351f210d5e Up_6_minutes 12741
0.0 0.0 12556 00:00:00 k8s_POD_calico-node-kzk6g_kube-system_b82d2514-ad70-4d46-b03e-a38346bc58a8_0 k8s.gcr.io/pause:3.3 Up_6_minutes 12556
0.1 1.0 9967 00:00:00 k8s_kube-proxy_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 d373dd5a8593 Up_8_minutes 9967
0.0 0.0 9888 00:00:00 k8s_POD_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 k8s.gcr.io/pause:3.3 Up_8_minutes 9888
0.0 0.1 9268 00:00:00 k8s_nginx-proxy_nginx-proxy-server8_kube-system_3fe14fcd98deb98cf28565dc3845877a_0 f35646e83998 Up_8_minutes 9268
0.0 0.0 9191 00:00:00 k8s_POD_nginx-proxy-server8_kube-system_3fe14fcd98deb98cf28565dc3845877a_0 k8s.gcr.io/pause:3.3 Up_8_minutes 9191
Time 1603710061
0.2 0.0 5799 00:00:00 k8s_POD_kafka-1_kafka_967def02-ce5f-44e1-b2dc-e8c52cf92bdb_0 k8s.gcr.io/pause:3.3 Up_About_a_minute 5799
0.1 0.7 14390 00:00:00 k8s_node-cache_nodelocaldns-pf5gk_kube-system_02e5b917-fecd-47ef-bcfa-18d4d9ccca8e_0 3f7a09f7cade Up_6_minutes 14390
0.0 0.0 14325 00:00:00 k8s_POD_nodelocaldns-pf5gk_kube-system_02e5b917-fecd-47ef-bcfa-18d4d9ccca8e_0 k8s.gcr.io/pause:3.3 Up_6_minutes 14325
0.0 0.0 12741 00:00:00 k8s_calico-node_calico-node-kzk6g_kube-system_b82d2514-ad70-4d46-b03e-a38346bc58a8_1 0f351f210d5e Up_6_minutes 12741
0.0 0.0 12556 00:00:00 k8s_POD_calico-node-kzk6g_kube-system_b82d2514-ad70-4d46-b03e-a38346bc58a8_0 k8s.gcr.io/pause:3.3 Up_7_minutes 12556
0.1 1.0 9967 00:00:00 k8s_kube-proxy_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 d373dd5a8593 Up_8_minutes 9967
0.0 0.0 9888 00:00:00 k8s_POD_kube-proxy-h2k9x_kube-system_0bedc608-7406-4dff-bfa1-d7584e6f2250_0 k8s.gcr.io/pause:3.3 Up_8_minutes 9888
0.0 0.1 9268 00:00:00 k8s_nginx-proxy_nginx-proxy-server8_kube-system_3fe14fcd98deb98cf28565dc3845877a_0 f35646e83998 Up_8_minutes 9268
